line	piece	cipher	gloss	alignment
8	0	5 Q K 9 7 4 Q E 4 w 7 m	a n k o m e n  d i e  m u	5=a Q=n K=k 9=o 7=m 4=e Q=n | E=d 4=i w=e | 7=m m=u
8	1	v m m v T 4 Q E 4 w e	s  m o ? t e n  d i e  k	v=s?(r) m=m m=o? v=r?/s T=t 4=e Q=n E=d 4=i w=e e=k(start of kw..)  [(mu)s(s) mo(r/s)ten die k..]
8	2	e + 5 3 \x ^ 4 + ^ m 4 E 4 Q	k w a n s  z u  s e h e ? n	e=k +=w? 5=a 3=n? \x=s | ^=z 4=u | +^=s? m=e 4=h? E=e? 4=?(i) Q=n  [kwans zu sehen..] offsets drift
8	3	Q p w D 9 b E 4 Q 7 P	(e)n  b e f o l ch e n  m i	Q=n p=b w=e D=f 9=o b=l E=ch 4=e Q=n 7=m P=i  [befolchen mi(t)]
9	0	y E 4 7 z Q b 5 d y E 5 \x	i d e m a n  h a l t  d a s	y=i/j E=d 4=e 7=m z=a Q=n | b=h 5=a d=l y=t | E=d 5=a \x=s  [iedman halt. das]
9	1	L n E e + S 3 7 y 5 m d	s i ch  ? ?  ? ? m i t ...	L=s n=i E=ch | e+=?(gloss ff/ss?) S=? 3=? | 7=m y=i? 5=t? m d ?  [sich .. mit] WEAK
9	2	m d p w r H p 4 v y p 5 v 3	t ? l e k w ? ? t  w a r u	m=t? d=b/g? p=l? w=e r=k? H=w? p 4 v =? y=t | p=w?(b) 5=a v=r 3=u  [..t ble kw.. t warum(b)]
9	3	3 7 p E 9 E 4 v 9 e +	u m b  d o ch  ? n e  k	3=u 7=m p=b | E=d 9=o E=ch | 4=? v=n? 9=e? | e+=k  [(war)umb doch .ne k..]
10	0	4 7 w \x 9 6 5 Q H .H 9 Q	w i e  s t a n d  n o n	4=w? 7=i? w=e | \x=s 9=t? 6=? 5=a Q=n H=d | .H(dotted)=n? 9=o Q=n  [wie stand non(d)..]
10	1	9 Q 4 v 4 v e+ \x y 5 Q E	o n d ? e r  ?  s t a n d	9=o Q=n 4=d? v=? 4=e v=r | e+=?(hin?) | \x=s y=t 5=a Q=n E=d  [..ond.er .. stand]
10	2	E 4o p 4 \x e - Q 8 m E y	d  u n d  b e s e n  n i ch t	E=d | 4o(4 with o)=und | p=b 4=e \x=s e-=e? Q=n | 8=n m=i E=ch y=t  [(stan)d und besen? nicht]
10	3	T w r + v 4 p w H	g e sch ? e h e n	T=g w=e r+=sch v=? 4=e p=h? w=e H=n?  [geschehen]
