index	base_number	proposed_plaintext	R1040_raw_variants
116	98	hij	9^' 8 | 9^__ 8^__ | ^_ 9^__ 8^__
117	351	zou	3 5^_ 1
121	369	eerd	3 6 9 | 3^__ 6^__ 9 | ^_ 3^' 6 9
122	293	zijn	2 9 3
123	758	doch	7^_ 5^_ 8^_ | 7^__ 5^__ 8
124	560	met	5^__ 6^__ 0
125	320	wat	3 2 0
126	185	of	1 8 5 | 1 8^' 5
128	529	ge	5 2 9 | 5^'' 2 9
129	743	c	7^' 4 3 | 7^_ 4^_ 3^_
130	106	harg	1 0 6
131	572	eerd	5^_ 7^_ 2 | 5^_ 7^_ 2^_ | ^_ 5^_ 7^_ 2
132	200	is	2^_ 0^_ 0 | 2^__ 0^__ 0
134	142	geloof	1 4^' 2 | 1^' 4 2
137	499	rent	4 9 9 | 4^_ 9^_ 9
140	351	een	3 5^_ 1
141	813	secr	8^' 1 3
146	714	aan	7 1^_ 4^_ | 7^' 1 4 | 7^'' 1 4 | 7^_ 1^_ 4 | 7^_ 1^_ 4^_
151	242	ren	2 4 2
152	242	ge	2 4 2
155	81	her	8^' 1
158	100	inhoud	1^__ 0^__ 0 | 1^__ 0^__ 0^__
160	534	mijne	5^__ 3^__ 4
161	317	voorige	3 1 7 | 3^_ 1^_ 7
163	517	wat	5 1 7 | ^_ 5^_ 1^_ 7
164	709	men	7^' 0 9
166	842	den	8 4 2 | 8^_ 4^_ 2 | 8^_ 4^_ 2^_ | 8^__ 4^__ 2 | ^_ 8^__ 4^__ 2
171	534	best	5^__ 3^__ 4
173	423	van	4^' 2 3
174	337	voor	3 3 7 | 3^' 3 7
176	308	inhet	3 0 8
179	320	lijk	3 2 0
180	524	te	5 2^__ 4
181	776	werk	7 7 6 | 7^' 7 6
182	333	en	3^'' 3 3
187	750	daardoor	7^__ 5^__ 0^__
188	514	pruissen	5^' 1 4
190	182	zint	1^'' 8 2
191	354	ste	3 5^_ 4 | 3^_ 5^_ 4 | 3^__ 5^__ 4
193	186	houden	1 8^_ 6 | 1^'' 8 6 | 1^_ 8^_ 6 | ^_ 1^'' 8 6
195	792	heb	7^'' 9 2
196	575	reed	5 7 5 | 5 7^' 5 | 5^' 7 5 | 5^_ 7^_ 5^_
198	444	denken	4 4^' 4
199	96	datde	9^' 6
200	116	courier	1 1^' 6 | 1^' 1 6 | 1^_ 1^_ 6^_
201	147	na	1^_ 4^_ 7 | 1^_ 4^_ 7^_
202	554	holland	5 5 4 | 5^'' 5 4
205	252	afge	2^'' 5 2
207	971	enis	9^' 7 1 | 9^_ 7^_ 1
208	599	voort	5^'' 9 9
211	730	e	7^' 3 0
214	23	uit	2^_ 3^_ | 2^__ 3^__
215	868	on	8^'' 6 8 | 8^_ 6^_ 8 | 8^__ 6^__ 8
217	238	sbaa	2 3 8 | 2^' 3 8
218	730	ris	7^' 3 0
220	589	komen	5 8^' 9 | 5^' 8 9 | 5^'' 8 9
221	613	endat	6 1^' 3 | 6{^'}{__} 1__ 3__ | ^_ 6 1 3
224	114	mysterie	1 1^'' 4 | 1^'' 1 4
225	164	van	1^' 6 4
227	642	t	6 4 2 | 6^' 4 2
228	742	om	7^' 4 2
230	354	rigt	3 5^_ 4 | 3^_ 5^_ 4 | 3^__ 5^__ 4
234	318	effect	3 1^_ 8 | 3 1^_ 8^_ | 3^_ 1^_ 8
235	910	volgens	9^_ 1^_ 0
236	435	haare	^_ 4^__ 3^__ 5
237	514	gedachte	5^' 1 4
238	329	n	3 2 9 | 3^'' 2 9
240	355	te	3 5^_ 5^_
241	3	veel	3^o
244	185	te	1 8 5 | 1 8^' 5
245	320	voorkomen	3 2 0
