code	plaintext	status
29	<IL>	R1038 transcription
"29^"""	aan den'	R1038 transcription
29^CircleWithHorizontalBar	<IL>	R1038 transcription
29^^	<IL>	R1038 transcription
29^_	ik	R1038 transcription
29^o	<IL>	R1038 transcription
30	defaut	R1038 transcription
"30^"""	aan dit Hof	R1038 transcription
30^CircleWithHorizontalBar	wezen	R1038 transcription
30^^	c	R1038 transcription
30^_	<IL>	R1038 transcription
30^o	riet	R1038 transcription
31	<IL>	R1038 transcription
"31^"""	aange	R1038 transcription
31^CircleWithHorizontalBar	wie	R1038 transcription
31^^	e	R1038 transcription
31^_	<IL>	R1038 transcription
31^o	Rivier F	R1038 transcription
32	deliber	R1038 transcription
"32^"""	aan haer Majestet? F	R1038 transcription
32^CircleWithHorizontalBar	wierd	R1038 transcription
32^^	heid	R1038 transcription
32^_	<IL>	R1038 transcription
32^o	<IL>	R1038 transcription
33	demain	R1038 transcription
"33^"""	<IL>	R1038 transcription
33^CircleWithHorizontalBar	willen	R1038 transcription
33^^	m	R1038 transcription
33^_	<IL>	R1038 transcription
33^o	roient	R1038 transcription
34	den	R1038 transcription
"34^"""	aan her?	R1038 transcription
34^CircleWithHorizontalBar	wis	R1038 transcription
34^^	r	R1038 transcription
34^_	<IL>	R1038 transcription
34^o	roov?	R1038 transcription
35	depeche	R1038 transcription
"35^"""	aan ll Ho Ed	R1038 transcription
35^CircleWithHorizontalBar	wender	R1038 transcription
35^^	voor	R1038 transcription
35^_	<IL>	R1038 transcription
35^o	Raiterÿe	R1038 transcription
36	deput	R1038 transcription
"36^"""	aan ? ? ? ?	R1038 transcription
36^CircleWithHorizontalBar	word	R1038 transcription
36^^	c	R1038 transcription
36^_	<IL>	R1038 transcription
36^o	<IL>	R1038 transcription
37	dertien? ?	R1038 transcription
"37^"""	aan ? Ed: ?	R1038 transcription
37^CircleWithHorizontalBar	worde	R1038 transcription
37^^	e	R1038 transcription
37^_	<IL>	R1038 transcription
37^o	sae	R1038 transcription
38	desir	R1038 transcription
"38^"""	aan wien	R1038 transcription
38^CircleWithHorizontalBar	worde	R1038 transcription
38^^	hem	R1038 transcription
38^_	<IL>	R1038 transcription
38^o	salut	R1038 transcription
39	hun	contextual inference
"39^"""	aan Zyn Ed:	R1038 transcription
39^CircleWithHorizontalBar	wÿ	R1038 transcription
39^^	men	R1038 transcription
39^_	<IL>	R1038 transcription
39^o	Sa Majeste D	R1038 transcription
40	dev	R1038 transcription
"40^"""	aan ?	R1038 transcription
40^CircleWithHorizontalBar	wÿze	R1038 transcription
40^^	ra	R1038 transcription
40^_	<IL>	R1038 transcription
40^o	Sa Maj: Imperiale D	R1038 transcription
41	<IL>	R1038 transcription
"41^"""	aan ? ? ?	R1038 transcription
41^CircleWithHorizontalBar	ÿver	R1038 transcription
41^^	u	R1038 transcription
41^_	<IL>	R1038 transcription
41^o	<IL>	R1038 transcription
42	<IL>	R1038 transcription
"42^"""	aar	R1038 transcription
42^CircleWithHorizontalBar	zaak	R1038 transcription
42^^	onderdaan	R1038 transcription
42^_	<IL>	R1038 transcription
42^o	satisfactie	R1038 transcription
43	<IL>	R1038 transcription
"43^"""	abel	R1038 transcription
43^CircleWithHorizontalBar	zal	R1038 transcription
43^^	on est	R1038 transcription
43^_	<IL>	R1038 transcription
43^o	<IL>	R1038 transcription
44	di zen	R1038 transcription
"44^"""	absolu	R1038 transcription
44^CircleWithHorizontalBar	zee	R1038 transcription
44^^	<IL>	R1038 transcription
44^_	a	R1038 transcription
44^o	<IL>	R1038 transcription
45	dier	R1038 transcription
"45^"""	accommod	R1038 transcription
45^CircleWithHorizontalBar	zeer	R1038 transcription
45^^	<IL>	R1038 transcription
45^_	der	R1038 transcription
45^o	scherp	R1038 transcription
46	dif	R1038 transcription
"46^"""	accusatic	R1038 transcription
46^CircleWithHorizontalBar	zeker?	R1038 transcription
46^^	onstandvastig	R1038 transcription
46^_	es	R1038 transcription
46^o	<IL>	R1038 transcription
47	difficultit	R1038 transcription
"47^"""	ad	R1038 transcription
47^CircleWithHorizontalBar	zeg	R1038 transcription
47^^	<IL>	R1038 transcription
47^_	l	R1038 transcription
47^o	schrift	R1038 transcription
48	ding	R1038 transcription
"48^"""	advertissement	R1038 transcription
48^CircleWithHorizontalBar	zeggen	R1038 transcription
48^^	<IL>	R1038 transcription
48^_	om	R1038 transcription
48^o	<IL>	R1038 transcription
49	direct	R1038 transcription
"49^"""	africa	R1038 transcription
49^CircleWithHorizontalBar	zeile?	R1038 transcription
49^^	<IL>	R1038 transcription
49^_	tt	R1038 transcription
49^o	<IL>	R1038 transcription
50	disgratie	R1038 transcription
"50^"""	age	R1038 transcription
50^CircleWithHorizontalBar	zelf	R1038 transcription
50^^	ontfangen	R1038 transcription
50^_	a	R1038 transcription
50^o	second	R1038 transcription
51	dissip?	R1038 transcription
"51^"""	agter	R1038 transcription
51^CircleWithHorizontalBar	zelfs	R1038 transcription
51^^	ontgaan?	R1038 transcription
51^_	die	R1038 transcription
51^o	secrat	R1038 transcription
52	dit	R1038 transcription
"52^"""	ait	R1038 transcription
52^CircleWithHorizontalBar	zen	R1038 transcription
52^^	ontrent	R1038 transcription
52^_	et	R1038 transcription
52^o	<IL>	R1038 transcription
53	dit Hof	R1038 transcription
"53^"""	alhier?	R1038 transcription
53^CircleWithHorizontalBar	zenden	R1038 transcription
53^^	<IL>	R1038 transcription
53^_	l	R1038 transcription
53^o	sembst	R1038 transcription
54	dit Zal	R1038 transcription
"54^"""	<IL>	R1038 transcription
54^CircleWithHorizontalBar	zestig, ?	R1038 transcription
54^^	<IL>	R1038 transcription
54^_	on	R1038 transcription
54^o	sentiatie	R1038 transcription
55	doch	R1038 transcription
"55^"""	alle	R1038 transcription
55^CircleWithHorizontalBar	zien	R1038 transcription
55^^	<IL>	R1038 transcription
55^_	v	R1038 transcription
55^o	separieren	R1038 transcription
56	<IL>	R1038 transcription
"56^"""	aller	R1038 transcription
56^CircleWithHorizontalBar	zigt	R1038 transcription
56^^	onvor	R1038 transcription
56^_	<IL>	R1038 transcription
56^o	serions	R1038 transcription
57	volgen	contextual inference
"57^"""	allientie	R1038 transcription
57^CircleWithHorizontalBar	zo	R1038 transcription
57^^	onze	R1038 transcription
57^_	<IL>	R1038 transcription
57^o	seus	R1038 transcription
58	<IL>	R1038 transcription
"58^"""	allierte ?	R1038 transcription
58^CircleWithHorizontalBar	zo als	R1038 transcription
58^^	onzer	R1038 transcription
58^_	haast?	R1038 transcription
58^o	si	R1038 transcription
59	donn?	R1038 transcription
"59^"""	als	R1038 transcription
59^CircleWithHorizontalBar	zo even	R1038 transcription
59^^	oog	R1038 transcription
59^_	had	R1038 transcription
59^o	s'il	R1038 transcription
60	door	R1038 transcription
"60^"""	als ?	R1038 transcription
60^CircleWithHorizontalBar	zo zoude?	R1038 transcription
60^^	ock	R1038 transcription
60^_	half	R1038 transcription
60^o	slag	R1038 transcription
61	<IL>	R1038 transcription
"61^"""	als nog	R1038 transcription
61^CircleWithHorizontalBar	zonder	R1038 transcription
61^^	oorlogsdeclaratie	R1038 transcription
61^_	<IL>	R1038 transcription
61^o	so	R1038 transcription
62	<IL>	R1038 transcription
"62^"""	<IL>	R1038 transcription
62^CircleWithHorizontalBar	<IL>	R1038 transcription
62^^	oost	R1038 transcription
62^_	haven	R1038 transcription
62^o	soldaat F	R1038 transcription
63	<IL>	R1038 transcription
"63^"""	allÿd	R1038 transcription
63^CircleWithHorizontalBar	<IL>	R1038 transcription
63^^	op dat	R1038 transcription
63^_	hazard	R1038 transcription
63^o	somme	R1038 transcription
64	<IL>	R1038 transcription
"64^"""	ambassadeur F	R1038 transcription
64^CircleWithHorizontalBar	<IL>	R1038 transcription
64^^	ophes?	R1038 transcription
64^_	hebbe	R1038 transcription
64^o	son	R1038 transcription
65	<IL>	R1038 transcription
"65^"""	amis	R1038 transcription
65^CircleWithHorizontalBar	<IL>	R1038 transcription
65^^	oppos	R1038 transcription
65^_	hebt	R1038 transcription
65^o	<IL>	R1038 transcription
66	<EMPTY>	R1038 transcription
"66^"""	ander	R1038 transcription
66^CircleWithHorizontalBar	zuid	R1038 transcription
66^^	opstaan	R1038 transcription
66^_	heden	R1038 transcription
66^o	-  - Sin Excellence D	R1038 transcription
67	<IL>	R1038 transcription
"67^"""	anders	R1038 transcription
67^CircleWithHorizontalBar	zulks	R1038 transcription
67^^	<IL>	R1038 transcription
67^_	heeft	R1038 transcription
67^o	<EMPTY>	R1038 transcription
68	<IL>	R1038 transcription
"68^"""	annu	R1038 transcription
68^CircleWithHorizontalBar	zunjgen?	R1038 transcription
68^^	ord	R1038 transcription
68^_	heer	R1038 transcription
68^o	sont	R1038 transcription
69	<IL>	R1038 transcription
"69^"""	<EMPTY>	R1038 transcription
69^CircleWithHorizontalBar	zÿn	R1038 transcription
69^^	ordonn	R1038 transcription
69^_	de Heer de	R1038 transcription
69^o	<IL>	R1038 transcription
70	<IL>	R1038 transcription
"70^"""	ao	R1038 transcription
70^CircleWithHorizontalBar	zyne	R1038 transcription
70^^	ordre	R1038 transcription
70^_	die Heer	R1038 transcription
70^o	<IL>	R1038 transcription
71	<IL>	R1038 transcription
"71^"""	<IL>	R1038 transcription
71^CircleWithHorizontalBar	<IL>	R1038 transcription
71^^	ostentatie	R1038 transcription
71^_	heid	R1038 transcription
71^o	specie	R1038 transcription
72	<IL>	R1038 transcription
"72^"""	<IL>	R1038 transcription
72^CircleWithHorizontalBar	<IL>	R1038 transcription
72^^	ous	R1038 transcription
72^_	heid	R1038 transcription
72^o	speculatie	R1038 transcription
73	<IL>	R1038 transcription
"73^"""	armee	R1038 transcription
73^CircleWithHorizontalBar	<IL>	R1038 transcription
73^^	over	R1038 transcription
73^_	hem	R1038 transcription
73^o	spruck?	R1038 transcription
74	<IL>	R1038 transcription
"74^"""	artillerie	R1038 transcription
74^CircleWithHorizontalBar	zÿn Majesties? F	R1038 transcription
74^^	overge	R1038 transcription
74^_	hen	R1038 transcription
74^o	<IL>	R1038 transcription
75	<IL>	R1038 transcription
"75^"""	assez?	R1038 transcription
75^CircleWithHorizontalBar	a	R1038 transcription
75^^	overkomst?	R1038 transcription
75^_	<IL>	R1038 transcription
75^o	staat	R1038 transcription
76	<IL>	R1038 transcription
"76^"""	<IL>	R1038 transcription
76^CircleWithHorizontalBar	der	R1038 transcription
76^^	<IL>	R1038 transcription
76^_	het	R1038 transcription
76^o	<IL>	R1038 transcription
77	een	contextual inference
"77^"""	attaqu?	R1038 transcription
77^CircleWithHorizontalBar	f	R1038 transcription
77^^	<IL>	R1038 transcription
77^_	hi	R1038 transcription
77^o	stana	R1038 transcription
78	<IL>	R1038 transcription
"78^"""	<IL>	R1038 transcription
78^CircleWithHorizontalBar	kunnen	R1038 transcription
78^^	paal	R1038 transcription
78^_	hier	R1038 transcription
78^o	<IL>	R1038 transcription
79	de	R1038 transcription
"79^"""	<IL>	R1038 transcription
79^CircleWithHorizontalBar	o	R1038 transcription
79^^	pacificatie	R1038 transcription
79^_	<IL>	R1038 transcription
79^o	<IL>	R1038 transcription
80	eeron	R1038 transcription
"80^"""	<IL>	R1038 transcription
80^CircleWithHorizontalBar	te	R1038 transcription
80^^	<EMPTY>	R1038 transcription
80^_	<IL>	R1038 transcription
80^o	<IL>	R1038 transcription
81	ion	R1038 transcription
"81^"""	<IL>	R1038 transcription
81^CircleWithHorizontalBar	aan	R1038 transcription
81^^	pais	R1038 transcription
81^_	<IL>	R1038 transcription
81^o	<IL>	R1038 transcription
82	o	R1038 transcription
"82^"""	<IL>	R1038 transcription
82^CircleWithHorizontalBar	des	R1038 transcription
82^^	par	R1038 transcription
82^_	<IL>	R1038 transcription
82^o	<IL>	R1038 transcription
83	s	R1038 transcription
"83^"""	<IL>	R1038 transcription
83^CircleWithHorizontalBar	g	R1038 transcription
83^^	part	R1038 transcription
83^_	<IL>	R1038 transcription
83^o	<IL>	R1038 transcription
84	zullen	R1038 transcription
"84^"""	bataille	R1038 transcription
84^CircleWithHorizontalBar	l	R1038 transcription
84^^	parris	R1038 transcription
84^_	<IL>	R1038 transcription
84^o	<IL>	R1038 transcription
85	de	R1038 transcription
"85^"""	be	R1038 transcription
85^CircleWithHorizontalBar	of	R1038 transcription
85^^	<IL>	R1038 transcription
85^_	<IL>	R1038 transcription
85^o	<IL>	R1038 transcription
86	en	R1038 transcription
"86^"""	<IL>	R1038 transcription
86^CircleWithHorizontalBar	tt	R1038 transcription
86^^	particulier	R1038 transcription
86^_	<IL>	R1038 transcription
86^o	<IL>	R1038 transcription
87	is	R1038 transcription
"87^"""	<IL>	R1038 transcription
87^CircleWithHorizontalBar	<IL>	R1038 transcription
87^^	pas	R1038 transcription
87^_	hoop	R1038 transcription
87^o	suis	R1038 transcription
88	o	R1038 transcription
"88^"""	<IL>	R1038 transcription
88^CircleWithHorizontalBar	<IL>	R1038 transcription
88^^	passion	R1038 transcription
88^_	X. hoor	R1038 transcription
88^o	d	R1038 transcription
89	s	R1038 transcription
"89^"""	bek	R1038 transcription
89^CircleWithHorizontalBar	waakend Oog?	R1038 transcription
89^^	pe	R1038 transcription
89^_	hot	R1038 transcription
89^o	eeren	R1038 transcription
90	zÿn	R1038 transcription
"90^"""	belast?	R1038 transcription
90^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
90^^	pendant	R1038 transcription
90^_	dit Hot	R1038 transcription
90^o	in	R1038 transcription
91	in der dand	R1038 transcription
"91^"""	aa	R1038 transcription
91^CircleWithHorizontalBar	waar	R1038 transcription
91^^	pension?	R1038 transcription
91^_	<IL>	R1038 transcription
91^o	o	R1038 transcription
92	daar aan	R1038 transcription
"92^"""	e	R1038 transcription
92^CircleWithHorizontalBar	waarheid	R1038 transcription
92^^	<IL>	R1038 transcription
92^_	haaden	R1038 transcription
92^o	te	R1038 transcription
93	daar heenen	R1038 transcription
"93^"""	es	R1038 transcription
93^CircleWithHorizontalBar	waarschÿn ?	R1038 transcription
93^^	personnel?	R1038 transcription
93^_	<IL>	R1038 transcription
93^o	zien	R1038 transcription
94	daar ?	R1038 transcription
"94^"""	en	R1038 transcription
94^CircleWithHorizontalBar	waar uit?	R1038 transcription
94^^	<IL>	R1038 transcription
94^_	hun	R1038 transcription
94^o	dat	R1038 transcription
95	daar Zonde	R1038 transcription
"95^"""	p	R1038 transcription
95^CircleWithHorizontalBar	want	R1038 transcription
95^^	<IL>	R1038 transcription
95^_	huur?	R1038 transcription
95^o	en	R1038 transcription
96	dagen	R1038 transcription
"96^"""	te	R1038 transcription
96^CircleWithHorizontalBar	was	R1038 transcription
96^^	<IL>	R1038 transcription
96^_	hÿ	R1038 transcription
96^o	is	R1038 transcription
97	dat	R1038 transcription
"97^"""	b	R1038 transcription
97^CircleWithHorizontalBar	wat ?	R1038 transcription
97^^	<IL>	R1038 transcription
97^_	jaar	R1038 transcription
97^o	o	R1038 transcription
98	dat gan?	R1038 transcription
"98^"""	e	R1038 transcription
98^CircleWithHorizontalBar	weder	R1038 transcription
98^^	pla	R1038 transcription
98^_	<IL>	R1038 transcription
98^o	te	R1038 transcription
99	dat Zal	R1038 transcription
"99^"""	et	R1038 transcription
99^CircleWithHorizontalBar	weer	R1038 transcription
99^^	ple	R1038 transcription
99^_	<IL>	R1038 transcription
99^o	zÿn	R1038 transcription
100	in dato	R1038 transcription
"100^"""	K	R1038 transcription
100^CircleWithHorizontalBar	weeten	R1038 transcription
100^^	<IL>	R1038 transcription
100^_	januar?	R1038 transcription
100^o	restrictie	R1038 transcription
"101^"""	qu	R1038 transcription
101^CircleWithHorizontalBar	wel	R1038 transcription
101^^	pluraliteis?	R1038 transcription
101^_	je	R1038 transcription
101^o	<IL>	R1038 transcription
102	de	R1038 transcription
"102^"""	v	R1038 transcription
102^CircleWithHorizontalBar	wensoh?	R1038 transcription
102^^	point	R1038 transcription
102^_	jeer	R1038 transcription
102^o	<IL>	R1038 transcription
103	de	R1038 transcription
"103^"""	aa	R1038 transcription
103^CircleWithHorizontalBar	- werden	R1038 transcription
103^^	<IL>	R1038 transcription
103^_	<IL>	R1038 transcription
103^o	<IL>	R1038 transcription
104	declar	R1038 transcription
"104^"""	aan	R1038 transcription
104^CircleWithHorizontalBar	west	R1038 transcription
104^^	portie?	R1038 transcription
104^_	ig	contextual inference
104^o	revocatie F	R1038 transcription
105	<IL>	R1038 transcription
"105^"""	aan deze	R1038 transcription
105^CircleWithHorizontalBar	wezen	R1038 transcription
105^^	possessie?	R1038 transcription
105^_	ik	R1038 transcription
105^o	reussite	R1038 transcription
106	dedue?	R1038 transcription
"106^"""	aan dit Ministrie	R1038 transcription
106^CircleWithHorizontalBar	wie	R1038 transcription
106^^	d	R1038 transcription
106^_	<IL>	R1038 transcription
106^o	rigueur	R1038 transcription
107	defeet	R1038 transcription
"107^"""	aange	R1038 transcription
107^CircleWithHorizontalBar	wil	R1038 transcription
107^^	e	R1038 transcription
107^_	<IL>	R1038 transcription
107^o	ro	R1038 transcription
108	<IL>	R1038 transcription
"108^"""	aan haar Majesteit?	R1038 transcription
108^CircleWithHorizontalBar	willen	R1038 transcription
108^^	hen	R1038 transcription
108^_	<IL>	R1038 transcription
108^o	le Roi D	R1038 transcription
109	deliberatie	R1038 transcription
"109^"""	l	R1038 transcription
109^CircleWithHorizontalBar	wissel	R1038 transcription
109^^	met	R1038 transcription
109^_	<IL>	R1038 transcription
109^o	rois	R1038 transcription
110	demand	R1038 transcription
"110^"""	aan ?	R1038 transcription
110^CircleWithHorizontalBar	woon	R1038 transcription
110^^	ro	R1038 transcription
110^_	<IL>	R1038 transcription
110^o	ris	R1038 transcription
111	<IL>	R1038 transcription
"111^"""	aan ? ? Ed:	R1038 transcription
111^CircleWithHorizontalBar	word	R1038 transcription
111^^	uit	R1038 transcription
111^_	<IL>	R1038 transcription
111^o	rust?	R1038 transcription
112	depeche	R1038 transcription
"112^"""	aan K: Ho: Ed: ?	R1038 transcription
112^CircleWithHorizontalBar	worden	R1038 transcription
112^^	d	R1038 transcription
112^_	<IL>	R1038 transcription
112^o	<IL>	R1038 transcription
113	der	R1038 transcription
"113^"""	aan K: ? Ed: ?	R1038 transcription
113^CircleWithHorizontalBar	wordende	R1038 transcription
113^^	ee	R1038 transcription
113^_	<IL>	R1038 transcription
113^o	sage	R1038 transcription
114	Dertag? ?	R1038 transcription
"114^"""	aan Zien?	R1038 transcription
114^CircleWithHorizontalBar	wÿders?	R1038 transcription
114^^	het	R1038 transcription
114^_	ing[en]	contextual inference
114^o	sa majeste D	R1038 transcription
115	desist	R1038 transcription
"115^"""	aan Zyn Excett: F'	R1038 transcription
115^CircleWithHorizontalBar	Y	R1038 transcription
115^^	mÿ	R1038 transcription
115^_	<IL>	R1038 transcription
115^o	Sa Maj: Imperiale D	R1038 transcription
116	<IL>	R1038 transcription
"116^"""	aan ? ?	R1038 transcription
116^CircleWithHorizontalBar	ÿvor	R1038 transcription
116^^	rr	R1038 transcription
116^_	<IL>	R1038 transcription
116^o	<IL>	R1038 transcription
117	devant	R1038 transcription
"117^"""	aan ? ? Majest: F	R1038 transcription
117^CircleWithHorizontalBar	zaal	R1038 transcription
117^^	w	R1038 transcription
117^_	<IL>	R1038 transcription
117^o	sans	R1038 transcription
118	<IL>	R1038 transcription
"118^"""	? Bishop	R1038 transcription
118^CircleWithHorizontalBar	zal	R1038 transcription
118^^	missive	contextual inference
118^_	<IL>	R1038 transcription
118^o	<IL>	R1038 transcription
119	<IL>	R1038 transcription
"119^"""	<IL>	R1038 transcription
119^CircleWithHorizontalBar	zee ?	R1038 transcription
119^^	onge	R1038 transcription
119^_	<IL>	R1038 transcription
119^o	<IL>	R1038 transcription
120	<IL>	R1038 transcription
"120^"""	<IL>	R1038 transcription
120^CircleWithHorizontalBar	zeer	R1038 transcription
120^^	on ne	R1038 transcription
120^_	aa	R1038 transcription
120^o	schade	R1038 transcription
121	dic	R1038 transcription
"121^"""	accompagn	R1038 transcription
121^CircleWithHorizontalBar	zekerheid	R1038 transcription
121^^	ons	R1038 transcription
121^_	dit	R1038 transcription
121^o	schok?	R1038 transcription
122	<IL>	R1038 transcription
"122^"""	<IL>	R1038 transcription
122^CircleWithHorizontalBar	zegd	R1038 transcription
122^^	ont	R1038 transcription
122^_	f	R1038 transcription
122^o	oorlog schip	R1038 transcription
123	differren?	R1038 transcription
"123^"""	adel	R1038 transcription
123^CircleWithHorizontalBar	zeggen	R1038 transcription
123^^	<IL>	R1038 transcription
123^_	l	R1038 transcription
123^o	<IL>	R1038 transcription
124	dig	R1038 transcription
"124^"""	<IL>	R1038 transcription
124^CircleWithHorizontalBar	zil	R1038 transcription
124^^	<IL>	R1038 transcription
124^_	oo	R1038 transcription
124^o	schrÿen	R1038 transcription
125	dingstag	R1038 transcription
"125^"""	<IL>	R1038 transcription
125^CircleWithHorizontalBar	zelf	R1038 transcription
125^^	<IL>	R1038 transcription
125^_	van	R1038 transcription
125^o	schulden	R1038 transcription
126	dirige	R1038 transcription
"126^"""	agn	R1038 transcription
126^CircleWithHorizontalBar	zelve	R1038 transcription
126^^	ontfangen	R1038 transcription
126^_	aan	R1038 transcription
126^o	secondeeren	R1038 transcription
127	disgratier	R1038 transcription
"127^"""	ai	R1038 transcription
127^CircleWithHorizontalBar	zen	R1038 transcription
127^^	<IL>	R1038 transcription
127^_	e	R1038 transcription
127^o	<IL>	R1038 transcription
128	<IL>	R1038 transcription
"128^"""	al'	R1038 transcription
128^CircleWithHorizontalBar	zenden	R1038 transcription
128^^	ontrent	R1038 transcription
128^_	ff	R1038 transcription
128^o	<IL>	R1038 transcription
129	dit	R1038 transcription
"129^"""	alhier?	R1038 transcription
129^CircleWithHorizontalBar	zeven, Sept	R1038 transcription
129^^	onsteld	R1038 transcription
129^_	la	R1038 transcription
129^o	son	R1038 transcription
130	dit Hof	R1038 transcription
"130^"""	alle	R1038 transcription
130^CircleWithHorizontalBar	zien	R1038 transcription
130^^	ontwerp	R1038 transcription
130^_	ook	R1038 transcription
130^o	sentiment	R1038 transcription
131	<IL>	R1038 transcription
"131^"""	allein?	R1038 transcription
131^CircleWithHorizontalBar	<IL>	R1038 transcription
131^^	ontzag	R1038 transcription
131^_	van	R1038 transcription
131^o	ser	R1038 transcription
132	doch	R1038 transcription
"132^"""	alles	R1038 transcription
132^CircleWithHorizontalBar	zo	R1038 transcription
132^^	<IL>	R1038 transcription
132^_	<IL>	R1038 transcription
132^o	sesoi?	R1038 transcription
133	<IL>	R1038 transcription
"133^"""	allientie	R1038 transcription
