code	reading	confidence	note
7^_	hoog Ed.?	low	underlined col 1-72; row reads hoog + abbreviation with circle mark; parallel 83 hoog Ed
26^_	ieder / iedereen?	low	underlined col; after 25 ie, before iets/ig; parallel 949 iedereen
158^_	hoofd?	low	underlined col 145-216; between 157 honn.. and 159 hooge geallieerde; ho.f. with flourish
228^_	het zelve	medium	left-word column (col 217-288 words written far left) on row of 923 het/924 zelve
40^_	unreadable	unreadable	underlined col rows 33-43 are in.. words (in, in dit, int.., interesse..); cannot fix which row is 40
488^_	zijn keizerlijke Majesteit	high	col C; row reads Zyn keiz. Ma(j)
489^_	main	medium	col C, after zijn keiz Maj; fits 'tot main-tien'
496^_	meer	high	col C; parallel 420 meer
497^_	meest	medium	col C; parallel 421 meest(er)?
454^_	Koninglijke Hoogheid	medium	col C; 530 Koningl. Maj beside
477^_	loos?	low	col C lo.., between 476 longtems and 478 lui
361^_	invit(e)?	low	col B after 360 interpretatien; inv..e
412^_	zijn Majesteit	medium	col B; col A 336 and col C same word
414^_	maitre	low	col B two rows below zijn Maj; faint
339^_	manier?	low	col A faint; aligned (offset 76) with 415 manier; image ..n.k
341^_	marechal?	low	col A reads mar..; aligned with 417 de Marechal de
343^_	me(de)?	low	col A short word me..; aligned with 419 mede
346^_	melden	medium	col A; next row 347 hoogst gemelde
567^_	maniere	medium	col D; aligned with 491 manier; context 'per maniere d acquit'
644^_	unreadable	unreadable	col E is under the black photocopy shadow
979^_	misschien	high	p11: layout is WORD then CODE; "903 misschien 979"; 977=de Minister van F, 980=moder agree
754^_	Moe	high	p11 "679 Moe 754 Moed 830"? word left of 754 is Moe; context moe-ten
793^_	occupe	medium	p11 short word between 718 and 793, before 868 occupeeren; context ge-occupe-(e)rd
718^_	...eeren (prob. occupeeren)	low	p11 word left of 718 sits in the dark binding margin, only -eeren legible; parallel row to 793 occupe / 868 occupeeren
871^_	offer / offr(es)	medium	p11 c2 row of 795, faint; 945/946 alongside read offr; context haare offres
877^_	ond	medium	p11 short word in row of 801 after 800 omzigtig; context inconvenient v-ond
941^_	obtineeren	medium	p11 "866 obtineeren 941", next row 942 obtineeren again; 940=oblig, 943=occasien agree
476^^	Representatie	medium	p10 word left of 476 partly in dark margin, reads ...ntatie; row parallel to representeeren / Republica; context met representatie van den wensch
352^^	ontdekken	high	p12 "276 ontdekken 352"; 350=ontaard, 353=ontfangen agree; context te ontdekken
127^^	onthaal	high	p12 "51 onthaal 127"; 126=ontfangen, 128=ontrent agree
229^^	overZulks	high	p12 "153 overZulks 229"; 227=overleg, 230=paard agree; context en overzulks ook
174^^	plaats	high	p12 "98 plaats 174" (DECODE 172=point is mislabelled; the 172 row word is pitt?); context ge-plaats
975^^	Secours	high	p13 "899 Secours 975"; parallel 823 Secoureeren; 974=Se, 976=Sedert agree; context bepalingen van de secours in het vierde artikel
52^o	Sedert eenigen (tijd)	high	p13 "976 Sedert eenigen 52 Sedert lange 128"; 51=Secret, 53=Sembtl? agree. Letter context (hek [52] van het bewuste) fits poorly
927^^	Stellen	medium	p13 "851 Stellen 927", between 926 Steeken? and 928 Steunen?; context tijd [927] heeft suggests gesteld - reading faint
856^^	Subject	high	p13 col0 "Subject 856", then 857 Subsidie; context op het zelve subject / op dit subject
81^o	Stil	high	p13 "Stil 81 Stipt"; 80 row = de Staaten van het Rijk; context project stil is / stilzwijgen
161^o	Succes	medium	p13 word right of 85 (row offset +76 as 51/127); the 161 code itself is lost in the dark margin; context het succes zal moeten afwachten
29^^	onder te kennen? (onder de hand?)	low	p11 far-right caret column (1-29 run down the right edge): word right of 952, very faint, read onder te kennen; 28=on agrees
515^o	twaalf, douze	high	p14 "439 twaalf, douze 515"; 513=reguliere Troupes, 514=tuer agree; context om twaalf Griekse jongens
231^o	verdien(t)?	low	p14 word left of 231 sits in the dark gutter, only verd..-shape legible; same row carries 306 verdient; neighbours 230 verdedig?, 232 vereenigen
239^o	unreadable (verl...?)	unreadable	p14 word left of 239 lost in the gutter (last row of col1); same row: 314 verleenen?, 390 verlies; 238 = Verkrijging. Context (het [239] van haar Keiz. Maj.) would suit verlangen, not read
644^o	Vijf, cinq	high	p15 "569 Vijf, cinq 644"; 645=vinden agrees; context het vijfde en zesde artikel
607^o	U Hoog Ed. Gestr.	high	p15 col0 "UHoog Ed: Gestr: 607"; 608 U Hoog Wel Geboren, 609 uit agree; context aan U Hoog Ed. Gestr.
601^o	Vrouw	high	p15 col0 "vrouw 601"; 599=vriend, 602=vue agree
675^o	vrijheid	high	p15 "600 vrijheid 675"; 673=vreez, 676=vrugt agree; context van de vrijheid van de [navigatie?] der neutraal
218^CircleWithHorizontalBar	Zwaar	high	p16 "142 Zwaar 218" (parallel 217 right-word Zwaar..); 217=Zulks, 219=Zijn agree; context zwaar-igheid
640^CircleWithHorizontalBar	Russisch	high	p17 "566 Russisch 640", first row of the bottom block; 641=Haar Majesteit agrees; context de Russisch-e Minister
