folio	line_id	locus_type	lang	hand	illus	quire	para_start	para_end	line_words
f2r	f2r.3	P	A	1	H	A	0	0	qotaiincthey ychor chy ydychaiin
f2r	f2r.4	P	A	1	H	A	0	0	aiidychtod dycphy dalschokaiin d
f2r	f2r.5	P	A	1	H	A	0	0	otochor alshodaiinchol danytchaiin dan
f2r	f2r.6	P	A	1	H	A	0	0	saiin dain ddkol sorytoldydchol dchy cthy
f2r	f2r.7	P	A	1	H	A	0	1	shor ckhy daiinychol dan
f2r	f2r.8	P	A	1	H	A	1	0	kydain shaiin qoy s shol fodanyksh olsheey daiildy
f2r	f2r.9	P	A	1	H	A	0	0	dls sho kol sheey qokey ykody sochol yky dain daiisol
f2r	f2r.10	P	A	1	H	A	0	0	qo'ky cholaiin shol sheky daiincthey keol saiin e'a'iin
f2r	f2r.11	P	A	1	H	A	0	0	ychain dal chy dalor shan danolsaiin sheey ckhor
f2r	f2r.12	P	A	1	H	A	0	0	okol chy chor cthor yor an chansaiin chety chyky sal
f2r	f2r.13	P	A	1	H	A	0	1	sho ykeey chey daiin chcthy
f2r	f2r.14	L	A	1	H	A	0	0	ytoail
f2r	f2r.15	L	A	1	H	A	0	0	ios an on
f2v	f2v.1	P	A	1	H	A	1	0	kooiin cheo pchor otaiin odain chordair shty
f2v	f2v.2	P	A	1	H	A	0	0	kcho kchy sho shol qotcho loeees qotychor daiin
f2v	f2v.3	P	A	1	H	A	0	0	otchy chor lshy chol chody chodainchcthy daiin
f2v	f2v.4	P	A	1	H	A	0	1	sho cholo cheor chodaiin
f2v	f2v.5	P	A	1	H	A	1	0	kchor shy daiiin chms shey dor chol daiin
f2v	f2v.6	P	A	1	H	A	0	0	dor chol chor chol keol chy chtydaiin o tchor chan
f2v	f2v.7	P	A	1	H	A	0	0	daiin chotchey qoteeey chokeoschees chr cheaiin
f2v	f2v.8	P	A	1	H	A	0	1	chokoishe chor cheol chol dolody
f3r	f3r.1	P	A	1	H	A	1	0	tsheos qopal chol cthol daimg
f3r	f3r.2	P	A	1	H	A	0	0	ycheor chor dam qotcham cham
f3r	f3r.3	P	A	1	H	A	0	0	ochor qocheor chol daiin cthy
f3r	f3r.4	P	A	1	H	A	0	0	schey chor chal chag cham cho
f3r	f3r.5	P	A	1	H	A	0	0	qokol chololy s cham cthol
f3r	f3r.6	P	A	1	H	A	0	0	ychtaiin chor cthom otaldam
f3r	f3r.7	P	A	1	H	A	0	0	otchol qodaiin chom shom damo
f3r	f3r.8	P	A	1	H	A	0	0	ysheor chor chol oky dago
f3r	f3r.9	P	A	1	H	A	0	0	sho vor sheoldam otchody ol
f3r	f3r.10	P	A	1	H	A	0	1	ydar cholcthom
f3r	f3r.11	P	A	1	H	A	1	0	pcheol shol sols sheol shey
f3r	f3r.12	P	A	1	H	A	0	0	okadaiin qokchor qo schodam octhy
f3r	f3r.13	P	A	1	H	A	0	0	qokeey qot shey qokody qokshey cheody
f3r	f3r.14	P	A	1	H	A	0	1	chor qodair okeey qokeey
f3r	f3r.15	P	A	1	H	A	1	0	tsheoarom shor or chor olchsy chom otchomoporar
f3r	f3r.16	P	A	1	H	A	0	0	oteol chol s cheol ekshy qokeom qokol daiinsoleeg
f3r	f3r.17	P	A	1	H	A	0	1	soeom okeom yteody qokeeodal sam
f3r	f3r.18	P	A	1	H	A	1	0	pcheoldom shodaiin qopchor qopol opchol qotyotolom
f3r	f3r.19	P	A	1	H	A	0	0	otchor ol cheor qoeor dair qoteol qosaiinchor cthy
f3r	f3r.20	P	A	1	H	A	0	1	ycheor chol odaiin chol s aiin okol or am
f3v	f3v.1	P	A	1	H	A	1	0	koaiin cphor qotoy sha ckhol ykoaiin s oly
f3v	f3v.2	P	A	1	H	A	0	0	daiidy qoteeol okeeor okor olytol dol dar
f3v	f3v.3	P	A	1	H	A	0	0	okom chol shol seees chom cheeykam okai
f3v	f3v.4	P	A	1	H	A	0	0	qodar ees eey kcheol okal do r chear een
f3v	f3v.5	P	A	1	H	A	0	0	ychear otchal cho r char ckha
f3v	f3v.6	P	A	1	H	A	0	1	or cheor kor chodaly chom
f3v	f3v.7	P	A	1	H	A	1	0	tchor otcham chor cfham s
f3v	f3v.8	P	A	1	H	A	0	0	ykchy kchom chor chckhol oka
f3v	f3v.9	P	A	1	H	A	0	0	ytcheear okeol cthodoaly chor cthy
f3v	f3v.10	P	A	1	H	A	0	0	ochos daiin qokshol daiim chol okary
f3v	f3v.11	P	A	1	H	A	0	0	sho shockho ckhy tchor chodaiin chom
f3v	f3v.12	P	A	1	H	A	0	0	osh chodair ytchy tchor kcham s
f3v	f3v.13	P	A	1	H	A	0	0	shar shkaiin qokchy yty cthal chky
f3v	f3v.14	P	A	1	H	A	0	1	dain sheam y keam
f4r	f4r.1	P	A	1	H	A	1	0	kodalchy chpady sheol ol sheey qoteydoiin chor ytoy
f4r	f4r.2	P	A	1	H	A	0	0	dchor shol shol cthol shtchy chaiin @163;schoraiin chom
f4r	f4r.3	P	A	1	H	A	0	0	otchol chol chy chaiin qotaiindaiin shain
f4r	f4r.4	P	A	1	H	A	0	1	qotchol chy yty daiin okaiin cthy
f4r	f4r.5	P	A	1	H	A	1	0	pydaiin qotchy dy tydy
f4r	f4r.6	P	A	1	H	A	0	0	chor shytchy dytcheey
f4r	f4r.7	P	A	1	H	A	0	0	qotaiin cthol daiin cthom
f4r	f4r.8	P	A	1	H	A	0	0	shor shol shol cthy cpholdy
f4r	f4r.9	P	A	1	H	A	0	0	daiin ckhochy tchy kor aiin
f4r	f4r.10	P	A	1	H	A	0	0	odal shor shyshol cphaiin
f4r	f4r.11	P	A	1	H	A	0	0	qotchoiin sheor qoty
f4r	f4r.12	P	A	1	H	A	0	0	soiin chaiin chaiin
f4r	f4r.13	P	A	1	H	A	0	1	daiin cthey
f4v	f4v.1	P	A	1	H	A	1	0	pchooiin ksheo kchoy chopchy doldsdlod
f4v	f4v.2	P	A	1	H	A	0	0	ol chey chy cthy shkchor sheo cheorycholdy
f4v	f4v.3	P	A	1	H	A	0	0	sho sho chaiin shaiin daiin qodaiino aram
f4v	f4v.4	P	A	1	H	A	0	0	qokshy qocthy choteol daiin ctheychoaiin
f4v	f4v.5	P	A	1	H	A	0	0	shor sheey otoiin shey qotchoiinchodain
f4v	f4v.6	P	A	1	H	A	0	1	ytchoy shokchy cphody
f4v	f4v.7	P	A	1	H	A	1	0	torchy sheeor chor chokchy cphydy
f4v	f4v.8	P	A	1	H	A	0	0	oleeeb chor cthol sho otor cthory
f4v	f4v.9	P	A	1	H	A	0	0	qooko iiin cheog chcthy shoky daiin
f4v	f4v.10	P	A	1	H	A	0	0	otaiin sheo okeody chol chokeody
f4v	f4v.11	P	A	1	H	A	0	0	sho kcheor shody shtaiin qotol daiin
f4v	f4v.12	P	A	1	H	A	0	0	qokey sho okeol s keey shar char ody
f4v	f4v.13	P	A	1	H	A	0	0	shody s cheor chokody shodaiin qoty
f4v	f4v.14	P	A	1	H	A	0	1	ochody chy key chtody
f5r	f5r.1	P	A	1	H	A	1	0	kchody fchoy chkoy oaiin oar olsy chody dkshy dy
f5r	f5r.2	P	A	1	H	A	0	0	ochey okey qokaiin sho ckhoy cthey chey okas otol
f5r	f5r.3	P	A	1	H	A	0	0	qoaiin otan chy daiin oteeeb chocthy otchy qotchody
f5r	f5r.4	P	A	1	H	A	0	1	otain sheody chan s cheor chocthy
f5r	f5r.5	P	A	1	H	A	1	0	tchy shody qoaiin cholols sho qotcheo daiin shodaiin
f5r	f5r.6	P	A	1	H	A	0	0	sho cheor chey qoeeey qoykeeey qoeor cthy shotshy dy
f5r	f5r.7	P	A	1	H	A	0	1	qotoeey keey cheo kchy shody
f5v	f5v.1	P	A	1	H	A	1	0	k o cheor chor ytchey pshod chols chodaiin ytoiiin daiin
f5v	f5v.2	P	A	1	H	A	0	0	dchol chol otaiin dain cthor chots ychopordg
f5v	f5v.3	P	A	1	H	A	0	0	qotcho ytor daiin daiin otchor daiin q'o darchor do
f5v	f5v.4	P	A	1	H	A	0	0	qotor shees otol ykoiin shol daiin cthor okch y taiin
f5v	f5v.5	P	A	1	H	A	0	0	shokeeol chor cheotol otchol daiin dal chol chotaiin
f5v	f5v.6	P	A	1	H	A	0	1	otol chol dairodg
f6r	f6r.1	P	A	1	H	A	1	0	foar y shol cholor cphol chor chchopchol otcham
f6r	f6r.2	P	A	1	H	A	0	0	daiin chckhy chor chor kar cthycthor chotols
f6r	f6r.3	P	A	1	H	A	0	0	foeear kshor choky os cheoeeesykeor ytaiin dam
f6r	f6r.4	P	A	1	H	A	0	0	dar cho s sheor choy otchamyaiir chy
f6r	f6r.5	P	A	1	H	A	0	0	tar okoiin shees ytaly cthaiinodam
f6r	f6r.6	P	A	1	H	A	0	0	or al daiin ckham okom cthaiinydaiin
f6r	f6r.7	P	A	1	H	A	0	0	daiin qodaiin cho s chol okaiin s
f6r	f6r.8	P	A	1	H	A	0	0	ychol ckhor pchar sheo ckhaiin
f6r	f6r.9	P	A	1	H	A	0	0	dar sheol skaiiodar otaiin chory
f6r	f6r.10	P	A	1	H	A	0	0	tchor ctheod chy shor od she od
f6r	f6r.11	P	A	1	H	A	0	0	ychar olchaj ol chokaiin
f6r	f6r.12	P	A	1	H	A	0	0	or shol cthom chor cthy
f6r	f6r.13	P	A	1	H	A	0	0	qocthol yodaiin cthy
f6r	f6r.14	P	A	1	H	A	0	1	ysho taiin y kaiim
f6v	f6v.1	P	A	1	H	A	1	0	koary sar cheekar qoor shor chapchy s chear char otchy
f6v	f6v.2	P	A	1	H	A	0	0	oees chor chckhy qoekchar cheas odaiiin kchey chor chaiin
f6v	f6v.3	P	A	1	H	A	0	0	qoair ckhy chol oechockhy chekchoy ckhy okolrychos
f6v	f6v.4	P	A	1	H	A	0	0	y shckhy ytchoy s os y jajy dchy dey okodyytody
f6v	f6v.5	P	A	1	H	A	0	1	dair chodam dam okor otydoldom
f6v	f6v.6	P	A	1	H	A	1	0	tchody shocthol choy s
f6v	f6v.7	P	A	1	H	A	0	0	ychos ychol daiin cthol dol
f6v	f6v.8	P	A	1	H	A	0	0	ychor chor okchey qokom
f6v	f6v.9	P	A	1	H	A	0	0	oeeo dal chor cthom s
f6v	f6v.10	P	A	1	H	A	0	0	qokchod ychear kchdy
f6v	f6v.11	P	A	1	H	A	0	0	lor char otam ctho m dy
f6v	f6v.12	P	A	1	H	A	0	0	ytchos shy qokam cthy
f6v	f6v.13	P	A	1	H	A	0	0	yodaiin cthy s chor oees or
f6v	f6v.14	P	A	1	H	A	0	0	qokor chol cthol tchalody
f6v	f6v.15	P	A	1	H	A	0	0	chockhy s or chy s ain ar
f6v	f6v.16	P	A	1	H	A	0	0	ochy cthar cthar cthy
f6v	f6v.17	P	A	1	H	A	0	0	y chaies ckhal cthodam dy
f6v	f6v.18	P	A	1	H	A	0	0	ytchocthol ches or
f6v	f6v.19	P	A	1	H	A	0	0	ocholy kchos chy dor
f6v	f6v.20	P	A	1	H	A	0	0	dchor choldar okol daiin
f6v	f6v.21	P	A	1	H	A	0	1	ycheor chor octham
f7r	f7r.1	P	A	1	H	A	1	0	fchodaiin shopchey qkoshey qoos sheey charochy
f7r	f7r.2	P	A	1	H	A	0	0	dcheey keo r shor dolddchey kchey otchy cheody
f7r	f7r.3	P	A	1	H	A	0	0	oeeees cheodaiin sheeyytcheey qotchy chald
f7r	f7r.4	P	A	1	H	A	0	0	qokcho cho lochey daiinychey kchos odaiin
f7r	f7r.5	P	A	1	H	A	0	1	oaiirotaiin
f7r	f7r.6	P	A	1	H	A	1	0	ksholo chey qotoees chkoldyotchor choaiin
f7r	f7r.7	P	A	1	H	A	0	0	dshoy cthol chol otchol dainshody shol chotchy
f7r	f7r.8	P	A	1	H	A	0	0	okchey deeeese choty qokchyshol keey choty dain
f7r	f7r.9	P	A	1	H	A	0	0	qokechy ol choiin chol cpheyshckhy chochy kchod
f7r	f7r.10	P	A	1	H	A	0	1	s chain chor daiin chckhy
f7v	f7v.1	P	A	1	H	A	1	0	polyshy shey tchody qopchy otshol dy daiin tshodody
f7v	f7v.2	P	A	1	H	A	0	0	chochy cthy daiin qoky chy daiin cthol cthy cthd
f7v	f7v.3	P	A	1	H	A	0	0	qokchy dykchy chkeey kshy ky ty dor cheey o l cheol dy
f7v	f7v.4	P	A	1	H	A	0	0	choteeeb oeear choschy dain sho kshy shol deees dol
f7v	f7v.5	P	A	1	H	A	0	1	dchodaiin qotchy cheey tcheey
f7v	f7v.6	P	A	1	H	A	1	0	kchor sheod sheodaiin sho daiin oksho lshol dair qos
f7v	f7v.7	P	A	1	H	A	0	0	okshodeeeb chorcheor odaiin shotchodol dol dor aiin
f7v	f7v.8	P	A	1	H	A	0	0	qoteeeo r cho cheeody qotchey teyo kcho r daiin
f7v	f7v.9	P	A	1	H	A	0	1	sho keeo daiir chokchy dor deol dydol daiin
f8r	f8r.1	P	A	1	H	A	1	0	pshol chor otshal chopycphol chody shy cfhodar shor
f8r	f8r.2	P	A	1	H	A	0	0	tchty sh kcheals shookche do dchy dain al
f8r	f8r.3	P	A	1	H	A	0	0	chodar shy sychodaiin shokchy chor dy
f8r	f8r.4	P	A	1	H	A	0	0	qotor chor chor sheeydchol shesed chof chy dam
f8r	f8r.5	P	A	1	H	A	0	0	okchey do r cheeey dy kyscho chky ooaiin chy taiin
f8r	f8r.6	P	A	1	H	A	0	0	tosh cheey koltoldyshy choety cheeody sol
f8r	f8r.7	P	A	1	H	A	0	0	choto kchoan choor dain
f8r	f8r.8	P	A	1	H	A	0	1	dcho dain
f8r	f8r.9	P	A	1	H	A	1	0	tchoep sho pcheey pcheyofchey dsheey sholdaiin shor
f8r	f8r.10	P	A	1	H	A	0	0	daiin cheey teeodan dycheocthy oksheo dol dairg
f8r	f8r.11	P	A	1	H	A	0	0	shol cheodaiin daiin doy tchody chot choty otariin
f8r	f8r.12	P	A	1	H	A	0	0	qo chodaiin shotokodychotol
f8r	f8r.13	P	A	1	H	A	0	1	okokchodg
f8r	f8r.14	P	A	1	H	A	1	0	o ey shol chofydysho chey kshey lody cholal
f8r	f8r.15	P	A	1	H	A	0	0	dchey ckhol chol chey kcchy daiin dol daiiiry ckhy
f8r	f8r.16	P	A	1	H	A	0	0	ychey kchekchy chsey kchyscheaiin cthaiar cthy dar
f8r	f8r.17	P	A	1	H	A	0	0	chol dchy qokar chlaiin chean y char chaiin
f8r	f8r.18	P	A	1	H	A	0	0	okar cfhaiin chaiin daiin chor cha rchealcham
f8r	f8r.19	P	A	1	H	A	0	0	sair cheain cphol darshol kaiin shol kaiin dai kam
f8r	f8r.20	P	A	1	H	A	0	0	or cho kesey shey o kalchal
f8r	f8r.21	P	A	1	H	A	0	1	schol saim
f8v	f8v.1	P	A	1	H	A	1	0	od soosol shol otol chol opcheaiin opydaiin saiin
f8v	f8v.2	P	A	1	H	A	0	0	shcthal sarchor sheaiin shor chykchy otaiin y
f8v	f8v.3	P	A	1	H	A	0	0	qody cheal sychorychear shol chaiin shaiin dolas
f8v	f8v.4	P	A	1	H	A	0	0	dshol sholdolchean cthar shealy daiin chary
f8v	f8v.5	P	A	1	H	A	0	0	chol chol darotchar etaiin cthol dar
f8v	f8v.6	P	A	1	H	A	0	0	daiin cthanytchy chey kaiin dain ar
f8v	f8v.7	P	A	1	H	A	0	0	sho kcholdar shey cthar chotain ry
f8v	f8v.8	P	A	1	H	A	0	0	okcholkshchol chol chol cthaiin dain
f8v	f8v.9	P	A	1	H	A	0	0	shol orchlchokchy chol cthor chaiin
f8v	f8v.10	P	A	1	H	A	0	0	scharchyoeesody kchey pchy cpharom
f8v	f8v.11	P	A	1	H	A	0	1	sorain
f8v	f8v.12	P	A	1	H	A	1	0	pchar cho rol dalshear chchotaiin chal daiin
f8v	f8v.13	P	A	1	H	A	0	0	kchor otchar okychokain keoky otorchy satar
f8v	f8v.14	P	A	1	H	A	0	0	shor okol lokaiinshol kol char cthey tchy ckham
f8v	f8v.15	P	A	1	H	A	0	0	or chol chan chychor cheain char cheeky chor ry
f8v	f8v.16	P	A	1	H	A	0	0	chor cheor chearoteey dchor chodey cho raiin
f8v	f8v.17	P	A	1	H	A	0	1	dain chear daiin
f9r	f9r.1	P	A	1	H	B	1	0	tydlo choly cthor orchey s shy odaiin saryshor cthy
f9r	f9r.2	P	A	1	H	B	0	0	oykeey chol ytaiin okchody toeoky okoiin dyor chaiin
f9r	f9r.3	P	A	1	H	B	0	0	toiin cphy qotod otaiin cthy okor cheyctho d ram
f9r	f9r.4	P	A	1	H	B	0	0	yshy chokcho chcthod shor shaiin otar dorytol dayty
f9r	f9r.5	P	A	1	H	B	0	1	daiin chor sor cthy chokoiin shol dsholdyotchol ot dy
f9r	f9r.6	P	A	1	H	B	1	0	pshoain cthoaiin okaiir odoral sharsyshydal chdy
f9r	f9r.7	P	A	1	H	B	0	0	or chol chy tchy tchol ytor qotol chykychodar aiin
f9r	f9r.8	P	A	1	H	B	0	0	qotcho qokchy cthey koraiin okain ddals olshocthy
f9r	f9r.9	P	A	1	H	B	0	0	ocho cthy choy chodykchy saiin dchydaiin
f9r	f9r.10	P	A	1	H	B	0	1	ytchas oraiin chkor
f9v	f9v.1	P	A	1	H	B	1	0	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin
f9v	f9v.2	P	A	1	H	B	0	0	dchor qoaiin chkaiin cthor chol chor cphol dyoty qokaiin dy
f9v	f9v.3	P	A	1	H	B	0	0	ykey chor ykaiin daiin cthy otaiin okyoeees daiin
f9v	f9v.4	P	A	1	H	B	0	1	ytey tch y kaiin cthor otol oty toldy
f9v	f9v.5	P	A	1	H	B	1	0	pchor ypcheey qotor ypchy olcfholy toarchty daiiin
f9v	f9v.6	P	A	1	H	B	0	0	odol choy ksheody chodydainotchy cthodyko
f9v	f9v.7	P	A	1	H	B	0	0	qo chol chol chy daiinotaldordaim
f9v	f9v.8	P	A	1	H	B	0	0	soiin daiin qokcho rokyddaly
f9v	f9v.9	P	A	1	H	B	0	0	daiin chy tor chyty daryytoldy
f9v	f9v.10	P	A	1	H	B	0	0	oty kchol chol chy kyty
f9v	f9v.11	P	A	1	H	B	0	0	ychor chshoty oky kaiin
f9v	f9v.12	P	A	1	H	B	0	1	chkaiin ckhy chor
f10r	f10r.1	P	A	1	H	B	1	0	pchocthy shor octhody chorchy pchodol chopchal ypch kom
f10r	f10r.2	P	A	1	H	B	0	0	dchey cthoor char chty os chair otytchol oky daiin etyd
f10r	f10r.3	P	A	1	H	B	0	0	qotor o tchy daiin chocthy qotchy chol or yty dy dy
f10r	f10r.4	P	A	1	H	B	0	0	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody
f10r	f10r.5	P	A	1	H	B	0	1	qokchy qotchol chol cthy
f10r	f10r.6	P	A	1	H	B	1	0	ycheor cthy chor cthaiin qoctholy dychy taiin shy
f10r	f10r.7	P	A	1	H	B	0	0	dchy qokchol y kchaiin yty daiin cthdain dair am
f10r	f10r.8	P	A	1	H	B	0	0	qotchor chor otol chol cholorchol daiin dar
f10r	f10r.9	P	A	1	H	B	0	0	oykchor shor chor chy kaiiin dychodaiin
f10r	f10r.10	P	A	1	H	B	0	0	oqotor otor cfhy cthor osainytoiin
f10r	f10r.11	P	A	1	H	B	0	0	@135;otchoshor qoty qotor cthydotar
f10r	f10r.12	P	A	1	H	B	0	1	@135;odaiin daiin qotchy qotor
f10v	f10v.1	P	A	1	H	B	1	0	paiin daiin sheo pcheey qoty daiin cthor otydy sain
f10v	f10v.2	P	A	1	H	B	0	0	dain daiin ckhy chcthor choiin qot chodaiin cthy daiin
f10v	f10v.3	P	A	1	H	B	0	1	dsho ytey kchol ol ty chol dy
f10v	f10v.4	P	A	1	H	B	1	0	qotchytor shoiin daiin qotchey shy ytor dain
f10v	f10v.5	P	A	1	H	B	0	0	sho ykeey daiin qotchy qotor chol daiin qokchy ky
f10v	f10v.6	P	A	1	H	B	0	0	shoiin chor shcthy qoty qotoiin qokol chor aiin
f10v	f10v.7	P	A	1	H	B	0	1	qokol chy ky chol cheky daiin dain chckhan
f11r	f11r.1	P	A	1	H	B	1	0	tshol schoal cfhy shfydaiin cphy shey tchody shoyty
f11r	f11r.2	P	A	1	H	B	0	0	socthody qodor y kshy daiin ytchy ytchoky kchol daiin
f11r	f11r.3	P	A	1	H	B	0	0	qoty chol cthy dor ykychy choty dain chaiin daiin dod
f11r	f11r.4	P	A	1	H	B	0	1	dchol chy kchy dy daiin
f11r	f11r.5	P	A	1	H	B	1	0	tchol shor shor dky y daiin cthy d y chodl daiin
f11r	f11r.6	P	A	1	H	B	0	0	odl d s y otol chaiin ykchor dair chody cthy s daiin
f11r	f11r.7	P	A	1	H	B	0	1	qotchy okchol cthy dy
f11v	f11v.1	P	A	1	H	B	1	0	poldchody shcphy shordy qotyshol cphar dan y
f11v	f11v.2	P	A	1	H	B	0	0	shol dy chckhy shcthy daiin damykchy dain dchy
f11v	f11v.3	P	A	1	H	B	0	0	otchor dy kchy tchy @152;ar qokchdoky choldy dy
f11v	f11v.4	P	A	1	H	B	0	0	qokchor cholol chyky dchy qokyctho tchey tu
f11v	f11v.5	L	A	1	H	B	0	0	dd
f11v	f11v.6	P	A	1	H	B	0	0	soydy qoteey qot chor dy ddycthor shy arg
f11v	f11v.7	P	A	1	H	B	0	1	ycheor ksho dor cthey s chold
f13r	f13r.1	P	A	1	H	B	1	0	torshor opchy shol dy qopchy shol opchor dypchy dchg
f13r	f13r.2	P	A	1	H	B	0	0	dchol chol dol shkchy ydal shy ykchy qot?y daiin s y
f13r	f13r.3	P	A	1	H	B	0	0	s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar
f13r	f13r.4	P	A	1	H	B	0	1	qodchy ytchy otchor
f13r	f13r.5	P	A	1	H	B	1	0	shorodo shy tshy kchol dpchy qopchy otchol cfholdy
f13r	f13r.6	P	A	1	H	B	0	0	tchor dor daiin qotchol okchy okchor oiin chckhy d
f13r	f13r.7	P	A	1	H	B	0	0	dchy qoky chol dy qoy d oldyokchor doaiin
f13r	f13r.8	P	A	1	H	B	0	0	shochy qokchy torchy ks okchey daiin
f13r	f13r.9	P	A	1	H	B	0	0	oldy shey chol doiin ykolyokchal daldy
f13r	f13r.10	P	A	1	H	B	0	1	sotchy kchy okorory
f13v	f13v.1	P	A	1	H	B	1	0	koair chtoiin otchy kchod otol otchy octhos
f13v	f13v.2	P	A	1	H	B	0	0	oko qokol chodal otchol cphol choty
f13v	f13v.3	P	A	1	H	B	0	0	qokchy qokod chy otchy cthody
f13v	f13v.4	P	A	1	H	B	0	0	o l s chey okos oaiin okshy qo
f13v	f13v.5	P	A	1	H	B	0	1	qoky daiin
f13v	f13v.6	P	A	1	H	B	1	0	foldaiin olcphy shol dyoty shor qotyddairod
f13v	f13v.7	P	A	1	H	B	0	0	dain okal chy qokchorydchy kokydaiinshon
f13v	f13v.8	P	A	1	H	B	0	0	otchy daiin y dain ykolokchy o kaldd y taiin
f13v	f13v.9	P	A	1	H	B	0	0	tchtod otal cthor ytaly cho talsho qocthy
f13v	f13v.10	P	A	1	H	B	0	1	y ol chy kchey kchor dal
f14r	f14r.1	P	A	1	H	B	1	0	pcho daiin chopol shoiin daiin dain
f14r	f14r.2	P	A	1	H	B	0	0	o ykeey soiiin chok qokchy da okol
f14r	f14r.3	P	A	1	H	B	0	0	ydaiin olchy kchor daiin olol
f14r	f14r.4	P	A	1	H	B	0	0	ochkchor kol shy daiin dorody
f14r	f14r.5	P	A	1	H	B	0	0	qokchol dar dalo qotolo
f14r	f14r.6	P	A	1	H	B	0	0	ychol oir okor choor ockhy
f14r	f14r.7	P	A	1	H	B	0	1	otcho dain chckhy
f14r	f14r.8	P	A	1	H	B	1	0	soshy @137;chol shor cheos ykaiin s
f14r	f14r.9	P	A	1	H	B	0	0	sody chody otchody qotchy koiin sysho ty dy
f14r	f14r.10	P	A	1	H	B	0	0	qotchor chod shoty chody dol dy dyokchydy
