k	n	word	letter	first	first_index_of_letter
97	34	a	A	False	15
98	30	eloquent	E	True	30
99	2	matter	M	True	2
100	18	extractions	E	True	18
101	24	subtleties	S	True	24
102	41	God	G	False	39
103	33	end	E	True	33
104	74	in	I	True	74
105	93	gestures	G	True	93
106	8	servant	S	True	8
107	5	which	W	True	5
108	12	he	H	True	12
109	58	end	E	True	58
110	162	ready	R	True	162
111	12	Drammatical	D	True	12
112	44	excessive	E	True	44
113	1	note	N	True	1
114	66	Gentlemen	G	True	66
115	9	liberty	L	True	9
116	15	if	I	True	15
117	100	several	S	False	98
118	42	he	H	True	42
119	2	seemed	S	True	2
120	28	Coach-man	C	True	28
121	16	or	O	False	2
122	6	to	T	True	6
123	27	strained	S	True	27
124	4	as	A	True	4
125	196	not	N	True	196
126	70	discourse	D	True	70
127	53	is	I	True	53
128	7	orders	O	True	7
129	1	she	S	True	1
130	69	of	O	False	2
131	2	and	A	True	2
132	15	rich	R	True	15
133	89	expectation	E	True	89
134	34	before	B	True	34
135	11	of	O	True	11
136	13	resorts	R	True	13
137	12	no	N	True	12
138	29	exterior	E	True	29
139	15	a	A	True	15
140	76	not	N	True	76
141	40	did	D	True	40
142	22	be	B	True	22
143	8	rows	R	True	8
144	24	elevate	E	True	24
145	75	dead	D	True	75
146	3	and	A	True	3
147	58	and	A	False	3
148	15	ducats	D	True	15
149	2	Colonel	C	True	2
150	1	of	O	True	1
151	4	nor	N	False	2
152	5	elected	E	True	5
153	56	Russia	R	True	56
154	5	the	T	True	5
155	5	his	H	True	5
156	2	to	T	True	2
157	4	of	O	True	4
158	12	-	_	None	None
159	20	and	A	False	6
160	19	included	I	True	19
161	14	the	T	False	7
162	80	the	T	False	4
163	37	service	S	True	37
164	45	upbraid	U	True	45
165	34	and	A	False	3
166	3	plowed	P	True	3
167	95	did	D	True	95
168	6	an	A	True	6
169	38	pain	P	False	4
170	1	they	T	True	1
171	18	have	H	True	18
172	11	other	O	True	11
173	27	rebus	R	True	27
174	4	I	I	True	4
175	13	endowments	E	True	13
176	7	improvement	I	True	7
177	24	excellenti	E	True	24
178	5	regular	R	True	5
179	20	ever	E	True	20
180	5	in	I	True	5
181	87	great	G	True	87
182	40	that	T	False	1
183	25	excelling	E	True	25
184	9	Icon	I	True	9
185	56	not	N	True	56
186	21	many	M	True	21
187	29	in	I	True	29
188	2	Scotish	S	True	2
189	81	nor	N	False	3
190	50	of	O	True	50
191	147	the	T	False	9
192	2	according	A	True	2
193	6	laws	L	True	6
194	16	people	P	True	16
195	15	Religion	R	True	15
196	14	eminent	E	True	14
197	9	Doctor	D	True	9
198	13	excuse	E	True	13
199	27	committed	C	True	27
200	3	ever	E	True	3
201	16	Several	S	True	16
202	14	Straloch	S	True	14
203	7	open	O	True	7
204	6	reason	R	True	6
205	2	should	S	True	2
206	10	since	S	True	10
207	16	is	I	False	8
208	69	for	F	False	14
209	1	Alexander	A	True	1
210	44	to	T	False	6
211	38	Sterlin	S	True	38
212	3	esteemed	E	True	3
213	3	that	T	True	3
214	2	had	H	True	2
215	10	Physician	P	False	8
216	34	left	L	True	34
217	8	but	B	True	8
218	18	excellent	E	True	18
219	9	or	O	True	9
220	28	under	U	True	28
221	2	received	R	True	2
222	4	set	S	True	4
223	6	of	O	True	6
224	2	literate	L	True	2
225	201	the	T	False	2
226	10	constrained	C	True	10
227	13	experience	E	True	13
228	6	Sinclair	S	True	6
229	1	as	A	True	1
230	36	the	T	False	6
231	1	and	A	True	1
232	31	men	M	False	13
233	4	to	T	False	3
234	17	and	A	False	4
235	54	relation	R	True	54
236	16	he	H	True	16
237	5	emnia	E	True	5
238	22	coming	C	True	22
239	11	be	B	True	11
240	5	of	O	True	5
241	31	Rexdolars	R	True	31
242	71	of	O	True	71
243	96	Eternity	E	False	3
244	15	Romania	R	True	15
245	45	excusable	E	True	45
246	19	most	M	True	19
247	6	prefers	P	True	6
248	64	of	O	False	11
249	10	remain	R	True	10
250	42	parent	P	True	42
251	7	upon	U	True	7
252	83	when	W	False	1
253	37	James	J	True	37
254	6	I	I	True	6
255	3	not	N	True	3
256	7	gaine	G	True	7
257	74	memorable	M	True	74
258	4	of	O	True	4
259	14	nevertheless	N	True	14
260	8	again	A	True	8
261	91	Realms	R	True	91
262	27	comfort	C	True	27
263	12	hath	H	True	12
264	11	and	A	True	11
265	2	name	N	True	2
266	28	dream	D	True	28
267	50	pari	P	True	50
268	68	renewed	R	True	68
269	3	of	O	True	3
270	2	that	T	True	2
271	12	England	E	True	12
272	1	circumobresistence	C	True	1
273	5	the	T	True	5
274	49	of	O	True	49
275	3	Romans	R	True	3
276	7	a	A	True	7
277	7	man	M	True	7
278	95	some	S	False	18
279	66	no	N	True	66
280	1	Subjection	S	True	1
281	11	of	O	True	11
282	33	with	W	False	5
283	51	Logical	L	True	51
284	50	Therefore	T	False	6
285	6	those	T	False	3
