# Partial reconstruction of the Spanish general cipher Cg.13 (Devos 1950 numbering; Tomokiyo "Cg.13 (1587)") from the two
# known-plaintext pairs in BnF fr. 3641: f. 10 / f. 14 (letter A) and f. 12 / f. 76 (letter B), Philip II to Mendoza,
# 7 Sept 1589. 17 Sept 2026. Evidence column: number of independent word positions where the value was required by the
# decipherer's clear text (2+ = confirmed; 1 = single position; T = also in Tomokiyo's published fragment of the table,
# spanish3.htm, image habsburg1.png; D = only the 1589 decipherer's reading, not checkable; * = contextual proposal, unread
# by the 1589 decipherer and not in any published key).
# symbol	value	evidence	examples   (P = read by Phelippes interlinearly on f. 5 and checked on the image)
# --- single symbols (letters) ---
26	xe	P	e-xem-plo = 9 26: 68 (x-row 25-29, with 28 = xo)
105	ze	P	zelo = 105 88; hazer = 80 105(+r)
# --- nomenclator (three-letter and two-letter groups); "." after a group = plural, "+" or "c" = changed ending ---
nem	papel	2	nem+. = papeles (f. 10 l. 1 = f. 14 "dos papeles")
na	carta	2+	na. = cartas; also Tomokiyo
ya	copia	1	ya. = copias (f. 14 "las [ya] desta carta"); Tomokiyo
quer	Rey	1	la muerte del quer mi hermano
quor	Reyno	2	salir desse quor; cosas desse quor; f. 10 "al quor de tam" (sic)
Zum	hermano	1	del Rey mi Zum
har	principe	1	har de Bearne; Tomokiyo
yen	otro	1	yenc = otra; Tomokiyo
ci / cie	alla / alli	2+	por alla, lo de alla, passa por alla; cie = alli
nu	compañia	1	en nu de Manuel de Andrada
ee	como	1	de tanta confusion como por alla
yu	cosa	2+	yu. = cosas (three positions)
pi	causa-	1	pi 37 = causado
pom	Dios	1	pom le perdone
pu	cristiandad	1	al bien de la pu
xer	servicio	2	algun servicio (A); a su servicio (B)
mu	cargo	1	a su cargo
Xim	governador	1	castellano y Xim de un castillo
Jic	puerto	1	a la boca del Jic
Zan	para	2+	para encaminar, para salir, para el buen assiento
Zen	para que	1	Zen se os avise (decipherer: "para que")
bor	pero* / mas*	*	f. 14 copyist wrote "porque", but porque is dur (f. 5, Phelippes); A: ponerlo en cor, bor por todo buen respeto me ha parescido avisaros; B: no se os avisara de aca, bor siendo tan importante
mes / mess	vuestro / vuestra	2	a mes manos (vuestras manos); con mes buen zelo (gloss "vro"); mess gu
pur	respeto	2	por todos los pur que se pueden considerar; por todo buen pur (decipherer wrote "puerto")
he	aviso	2+	he. avisos; he+ avisar / avise; he 50 = avisara
nur	particularidad	2	desta nur; nur+. = particularidades
Zon	particular	1	en Zon sus armaçones
bam	cuydado	1	con el bam que soleys
yan	orden	1	sin sun yan mia = sin nueva orden mia
san	negocio	2	a la forma que el san pidiere; a 88. san = a los negocios (decipherer: "a lo necessario"); f. 14 "para encaminar[se] el negocio"
bom	camino	1	del bom con que bolvio su ga
lur	quanto	1	de lur passa por alla
fom	forma	1	a la fom que el negocio pidiere
yom	malo	1	yom 6. yu. = malas cosas
ba	aca	2	por aca; avisara de aca
Zub	aviso / cuenta	D	dandome Zub de todo (decipherer wrote "aviso")
sun	nueva	D	sin sun orden mia (decipherer struck "nuestra", wrote "nueva")
mar	quien (Tomokiyo) / manera (f. 14 decipherer)	D	de mar entendieron juntamente que las copias desta carta vernian a parar a vuestras manos
lin	manera? / ninguna?	D	que en [8 ene] lin trateys de hazer ausencia (decipherer: "en ninguna manera")
biò	usar	D	el usar de la hon (f. 12 "g biò 39 85 hon")
fer	Portugués*	*	Manuel de Andrada fer; Antonio de Goda fer; Viète's copy (500 Colbert 33 f. 113) "Avisos ... de David traducidos de fer"
tam	Francia*	*	pasados a tam; al Reyno de tam; decipherer's gloss "francia"; Andrada was carrying Dom Antonio's letters to the French court and to Navarre
dun	Inglaterra*	*	gran falta ay por aca de avisos de dun ... del camino con que bolvio su ga ... navios ... entre ellos y el de Bearne ... sus armaçones (letter B); papeles que se han escapado de dun (letter A; decipherer wrote "francia", incompatible with his own tam = francia)
tum	fundamento* / importancia*	*	ya havreys entendido el tum que esto puede tener; si aveys entendido algo del tum que tuviere (f. 14 decipherer miscopied the first as "tur")
fru	posible* / facil*	*	seria fru que quisiesse hazerme algun servicio
cor	execucion* / platica*	*	no dudo que havreys procurado ponerlo en cor
hon	licencia*	*	el usar de la hon que teneys para salir desse Reyno (decipherer's gloss "diligencia")
gu	presencia* / assistencia* (not persona, which is bur)	*	siendo tan importante vuestra gu en el bu
bu	?	*	en el bu para el buen assiento de las cosas
com	designios* / intentos*	*	en lo que toca a sus com y lo que traman y traçan
ga	armada*	*	del camino con que bolvio su ga (the Drake-Norris fleet, back at Plymouth in July 1589)
Jam	efecto* / fin*	*	algunos navios que a este Jam se embiaron
lo	inteligencia* / relacion*	*	procurad vos tener las lo. y a menudo de quanto passa por alla
bem	daño* / deservicio*	*	urdiendo malas cosas en bem de la par
par	religion* / fe*	*	en bem de la par (pu = cristiandad is a different group)
